db_root.ui_bgm_id,db_root.stream_set_id,msbt_bgm.title,msbt_bgm.author,msbt_bgm.copyright,db_root.rarity,db_root.ui_gametitle_id,msbt_game.gametitle,db_root.ui_gametitle_id_1,db_root.ui_gametitle_id_2,db_root.ui_gametitle_id_3,db_root.ui_gametitle_id_4,db_root.name_id,db_root.save_no,db_root.test_disp_order,db_root.menu_value,db_root.jp_region,db_root.other_region,db_root.possessed,db_root.prize_lottery,db_root.shop_price,db_root.count_target,db_root.menu_loop,db_root.is_selectable_stage_make,db_root.is_selectable_video_edit,db_root.is_selectable_original,db_root.is_dlc,db_root.is_patch,db_root.dlc_ui_chara_id,db_root.dlc_mii_hat_motif_id,db_root.dlc_mii_body_motif_id,stream_set.stream_set_id,stream_set.special_category,stream_set.info0,stream_set.info1,stream_set.info2,stream_set.info3,stream_set.info4,stream_set.info5,stream_set.info6,stream_set.info7,stream_set.info8,stream_set.info9,stream_set.info10,stream_set.info11,stream_set.info12,stream_set.info13,stream_set.info14,stream_set.info15,assigned_info.info_id,assigned_info.stream_id,assigned_info.condition,assigned_info.condition_process,assigned_info.start_frame,assigned_info.change_fadein_frame,assigned_info.change_start_delay_frame,assigned_info.change_fadeout_frame,assigned_info.change_stop_delay_frame,assigned_info.menu_change_fadein_frame,assigned_info.menu_change_start_delay_frame,assigned_info.menu_change_fadeout_frame,assigned_info.menu_change_stop_delay_frame,stream_property.stream_id,stream_property.data_name0,stream_property.data_name1,stream_property.data_name2,stream_property.data_name3,stream_property.data_name4,stream_property.loop,stream_property.end_point,stream_property.fadeout_frame,stream_property.start_point_suddendeath,stream_property.start_point_transition,stream_property.start_point0,stream_property.start_point1,stream_property.start_point2,stream_property.start_point3,stream_property.start_point4,bgm_property.name_id,bgm_property.loop_start_ms,bgm_property.loop_start_sample,bgm_property.loop_end_ms,bgm_property.loop_end_sample,bgm_property.total_time_ms,bgm_property.total_samples,bgm_property.frequency,bgm_property.volume,bgm_property.filename,mod.source,mod.mod_path
ui_bgm_random,,ui_bgm_random,,,bgm_rarity_0,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,random,-1,-1,-1,False,False,False,False,180,True,0,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,,Core,
ui_bgm_a01_smb_chijyou,set_a01_smb_chijyou,Ground Theme - Super Mario Bros. {{(Brawl)}},Arrangement Supervisor: Koji Kondo,"Composition: Nintendo
Arrangement: Nintendo
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_mariobros,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0559,0,8,205,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a01_smb_chijyou,,info_a01_smb_chijyou,,,,,,,,,,,,,,,,info_a01_smb_chijyou,stream_a01_smb_chijyou,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a01_smb_chijyou,a01_smb_chijyou,,,,,1,00:00:33.869,400,,00:00:22.025,,,,,,a01_smb_chijyou,31307,1502745,109769,5268902,109774,5269164,48000,2.1,Resources\Game\stream;\sound\bgm\bgm_a01_smb_chijyou.nus3audio,Core,
ui_bgm_a02_smb_chika,set_a02_smb_chika,Underground Theme - Super Mario Bros.,Arrangement Supervisor: Kentaro Ishizaka,"Composition: Nintendo
Arrangement: HAL Laboratory, Inc.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_mariobros,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0561,1100,11,209,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a02_smb_chika,,info_a02_smb_chika,,,,,,,,,,,,,,,,info_a02_smb_chika,stream_a02_smb_chika,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a02_smb_chika,a02_smb_chika,,,,,0,00:01:23.689,400,,00:00:08.530,,,,,,a02_smb_chika,10189,489058,85291,4093989,85292,4094033,48000,1.5,Resources\Game\stream;\sound\bgm\bgm_a02_smb_chika.nus3audio,Core,
ui_bgm_a03_smb_suichu,set_a03_smb_suichu,Underwater Theme - Super Mario Bros.,Arrangement Supervisor: Shogo Sakai,"Composition: Nintendo
Arrangement: HAL Laboratory, Inc.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_mariobros,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0562,1,12,210,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a03_smb_suichu,,info_a03_smb_suichu,,,,,,,,,,,,,,,,info_a03_smb_suichu,stream_a03_smb_suichu,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a03_smb_suichu,a03_smb_suichu,,,,,1,00:00:09.187,400,,00:00:31.420,,,,,,a03_smb_suichu,4006,192303,93731,4499073,93752,4500117,48000,3.9,Resources\Game\stream;\sound\bgm\bgm_a03_smb_suichu.nus3audio,Core,
ui_bgm_a04_lnd_chika,set_a04_lnd_chika,Underground Theme - Super Mario Land,Arrangement: Koji Hayama,"Composition: Nintendo
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_super_mario_land_series,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0571,2,25,223,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a04_lnd_chika,,info_a04_lnd_chika,,,,,,,,,,,,,,,,info_a04_lnd_chika,stream_a04_lnd_chika,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a04_lnd_chika,a04_lnd_chika,,,,,1,00:00:32.996,400,,00:00:23.770,,,,,,a04_lnd_chika,27766,1332772,122934,5900845,122949,5901548,47999,3.7,Resources\Game\stream;\sound\bgm\bgm_a04_lnd_chika.nus3audio,Core,
ui_bgm_a05_smb3_hikousen,set_a05_smb3_hikousen,Airship Theme - Super Mario Bros. 3,Arrangement: Motoi Sakuraba,"Composition: Nintendo
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_super_mario_bros3,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0570,3,23,221,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a05_smb3_hikousen,,info_a05_smb3_hikousen,,,,,,,,,,,,,,,,info_a05_smb3_hikousen,stream_a05_smb3_hikousen,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a05_smb3_hikousen,a05_smb3_hikousen,,,,,1,00:00:17.345,400,00:00:07.957,00:00:08.000,,,,,,a05_smb3_hikousen,12058,578805,135098,6484713,135201,6489633,47999,3.9,Resources\Game\stream;\sound\bgm\bgm_a05_smb3_hikousen.nus3audio,Core,
ui_bgm_a06_wld_castle_toride,set_a06_wld_castle_toride,Castle / Boss Fortress - Super Mario World / SMB 3,Arrangement Supervisor: Yusuke Takahama,"Composition: Nintendo
Arrangement: TARGET ENTERTAINMENT INC.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_super_mario_world_bros3,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0575,4,29,220,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a06_wld_castle_toride,,info_a06_wld_castle_toride,,,,,,,,,,,,,,,,info_a06_wld_castle_toride,stream_a06_wld_castle_toride,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a06_wld_castle_toride,a06_wld_castle_toride,,,,,1,00:00:22.883,400,,00:00:18.451,,,,,,a06_wld_castle_toride,18512,888595,106812,5126994,106824,5127552,48000,3.6,Resources\Game\stream;\sound\bgm\bgm_a06_wld_castle_toride.nus3audio,Core,
ui_bgm_a07_wld_title_ending,set_a07_wld_title_ending,Title/Ending - Super Mario World,Arrangement Supervisor: Shota Kageyama,"Composition: Nintendo
Arrangement: PROCYON STUDIO
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_super_mario_world,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0572,5,26,227,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a07_wld_title_ending,,info_a07_wld_title_ending,,,,,,,,,,,,,,,,info_a07_wld_title_ending,stream_a07_wld_title_ending,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a07_wld_title_ending,a07_wld_title_ending,,,,,1,00:00:07.778,400,,00:00:02.726,,,,,,a07_wld_title_ending,4073,195526,127087,6100165,127088,6100242,48000,2.1,Resources\Game\stream;\sound\bgm\bgm_a07_wld_title_ending.nus3audio,Core,
ui_bgm_a08_new_maintheme,set_a08_new_maintheme,Main Theme - New Super Mario Bros.,Arrangement Supervisor: Shogo Sakai,"Composition: Nintendo
Arrangement: HAL Laboratory, Inc.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_new_super_mario_bros,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0583,6,38,244,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a08_new_maintheme,,info_a08_new_maintheme,,,,,,,,,,,,,,,,info_a08_new_maintheme,stream_a08_new_maintheme,sound_condition_none,sound_condition_process_add,45,0,0,55,0,0,0,55,0,stream_a08_new_maintheme,a08_new_maintheme,,,,,1,00:00:26.066,400,,00:00:10.866,,,,,,a08_new_maintheme,6564,315049,93836,4504120,93848,4504704,48000,1.9,Resources\Game\stream;\sound\bgm\bgm_a08_new_maintheme.nus3audio,Core,
ui_bgm_a09_lm_theme,set_a09_lm_theme,Main Theme - Luigi's Mansion {{(Brawl)}},Arrangement Supervisor: Shogo Sakai,"Composition: Nintendo
Arrangement: HAL Laboratory, Inc.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_luigi_mansion_series,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0626,7,85,238,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a09_lm_theme,,info_a09_lm_theme,,,,,,,,,,,,,,,,info_a09_lm_theme,stream_a09_lm_theme,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a09_lm_theme,a09_lm_theme,,,,,1,00:00:12.854,400,,00:00:22.536,,,,,,a09_lm_theme,6122,293872,90063,4323001,90643,4350882,48000,1.7,Resources\Game\stream;\sound\bgm\bgm_a09_lm_theme.nus3audio,Core,
